"fid1","iid1","fid2","iid2","m","ibd0","ibd1","ibd2"
"Luapula","Sample5024252","Luapula","Sample5026460",2.76121314041288,0.705,0.295,0
"Luapula","Sample5024252","Luapula","Sample5026468",1.43830727860169,0.262,0.738,0
"Luapula","Sample5024252","Luapula","Sample5026480",3.81249822533356,0.74,0.241,0.02
"Luapula","Sample5024252","Western","Sample5026483",2.8160371651574,0.716,0.284,0
"Luapula","Sample5024252","Northern","Sample5026578",1.1456053222469,0.096,0.904,0
"Luapula","Sample5024252","Northern","Sample5026584",1.7345631039509,0.399,0.601,0
"Luapula","Sample5024252","Northern","Sample5026588",1.05289494843213,0.036,0.964,0
"Luapula","Sample5024252","Northern","Sample5026596",20,1,0,0
"Luapula","Sample5024252","Copperbelt","Sample5026610",2.59074485331516,0.668,0.332,0
"Luapula","Sample5024252","Copperbelt","Sample5026616",20,1,0,0
"Luapula","Sample5024252","Copperbelt","Sample5026698",2.65290132937773,0.682,0.318,0
"Luapula","Sample5024252","North-Western","Sample5026712",1.43440282414577,0.26,0.74,0
"Luapula","Sample5024252","Copperbelt","Sample5026718",20,1,0,0
"Luapula","Sample5024252","North-Western","Sample5026727",2.8008773579864,0.713,0.287,0
"Luapula","Sample5024252","North-Western","Sample5026729",4.89392886798181,0.905,0.093,0.002
"Luapula","Sample5024252","North-Western","Sample5026735",1.50430483737593,0.295,0.705,0
"Luapula","Sample5024252","Copperbelt","Sample5026742",2.91593573521153,0.735,0.265,0
"Luapula","Sample5024252","Copperbelt","Sample5026760",20,1,0,0
"Luapula","Sample5024252","Copperbelt","Sample5026771",20,1,0,0
"Luapula","Sample5024252","North-Western","Sample5026773",1.21424022557299,0.138,0.862,0
"Luapula","Sample5024252","Copperbelt","Sample5026793",1.74661576419993,0.404,0.596,0
"Luapula","Sample5024252","Copperbelt","Sample5026805",20,1,0,0
"Luapula","Sample5024252","Copperbelt","Sample5026814",1.22095044716254,0.142,0.858,0
"Luapula","Sample5024252","Copperbelt","Sample5026847",1.11559744701631,0.077,0.923,0
"Luapula","Sample5024252","Copperbelt","Sample5026866",2.88896868761126,0.73,0.27,0
"Luapula","Sample5024252","Eastern","Sample5026871",1.32192809488736,0.2,0.8,0
"Luapula","Sample5024252","Eastern","Sample5026877",3.19099722506091,0.781,0.219,0
"Luapula","Sample5024252","Eastern","Sample5026878",1.41696237620334,0.251,0.749,0
"Luapula","Sample5024252","Eastern","Sample5026883",2.04097178105631,0.514,0.486,0
"Luapula","Sample5024252","Eastern","Sample5026884",1.49005085369569,0.288,0.712,0
"Luapula","Sample5024252","Eastern","Sample5026910",1.14880066140671,0.098,0.902,0
"Luapula","Sample5024252","Eastern","Sample5026911",3.05289494843213,0.759,0.241,0
"Luapula","Sample5024252","Eastern","Sample5026916",1.57132159005177,0.327,0.673,0
"Luapula","Sample5024252","Other","Sample5027250",1.48196850739783,0.284,0.716,0
"Luapula","Sample5024262","Luapula","Sample5024264",20,1,0,0
"Luapula","Sample5024262","North-Western","Sample5024275",20,1,0,0
"Luapula","Sample5024262","Northern","Sample5024310",20,1,0,0
"Luapula","Sample5024262","Northern","Sample5024360",20,1,0,0
"Luapula","Sample5024262","Northern","Sample5024364",20,1,0,0
"Luapula","Sample5024262","Eastern","Sample5024376",20,1,0,0
"Luapula","Sample5024262","Luapula","Sample5024414",20,1,0,0
"Luapula","Sample5024262","Luapula","Sample5024416",20,1,0,0
"Luapula","Sample5024262","Luapula","Sample5024442",20,1,0,0
"Luapula","Sample5024262","Western","Sample5024461",20,1,0,0
"Luapula","Sample5024262","Luapula","Sample5024463",20,1,0,0
"Luapula","Sample5024262","Western","Sample5024465",20,1,0,0
"Luapula","Sample5024262","Western","Sample5024467",20,1,0,0
"Luapula","Sample5024262","Western","Sample5024469",20,1,0,0
"Luapula","Sample5024262","Western","Sample5024472",20,1,0,0
"Luapula","Sample5024262","Western","Sample5024473",20,1,0,0
"Luapula","Sample5024262","Western","Sample5024475",20,1,0,0
"Luapula","Sample5024262","Western","Sample5024476",20,1,0,0
"Luapula","Sample5024262","North-Western","Sample5024485",20,1,0,0
"Luapula","Sample5024262","North-Western","Sample5024500",20,1,0,0
"Luapula","Sample5024262","North-Western","Sample5024504",20,1,0,0
"Luapula","Sample5024262","North-Western","Sample5024513",20,1,0,0
"Luapula","Sample5024262","North-Western","Sample5024515",20,1,0,0
"Luapula","Sample5024262","Muchinga","Sample5024525",20,1,0,0
